Rank	CNG	Prospect	College	P1	Ht	Wt	Elig	DR
1	--	Travis Hunter	Colorado	CB	6'1"	185	JR	DRU
2	--	Mason Graham	Michigan	DL3T	6'3"	318	JR	DRU
3	--	Tetairoa McMillan	Arizona	WR	6'4"	210	JR	DRU
4	--	Will Johnson	Michigan	CB	6'2"	202	JR	DRU
5	player up arrow ranking +4	Cameron Ward	Miami (FL)	QB	6'3"	220	RSR	DRO
6	--	Abdul Carter	Penn State	EDGE	6'2"	249	JR	DRU
7	--	Kelvin Banks Jr.	Texas	OT	6'4"	324	JR	
8	player down arrow ranking -4	Shedeur Sanders	Colorado	QB	6'2"	215	SR	SH
9	--	Luther Burden III	Missouri	WR	5'11"	208	JR	DRU
10	--	Will Campbell	LSU	OT	6'6"	325	JR	DRU
11	--	James Pearce Jr.	Tennessee	EDGE	6'4"	242	JR	
12	--	Nic Scourton	Texas A&M	DL5T	6'4"	280	JR	SR
13	--	Emeka Egbuka	Ohio State	WR	6'1"	205	SR	
14	--	Mykel Williams	Georgia	EDGE	6'4"	265	JR	DRU
15	--	Malaki Starks	Georgia	S	6'1"	205	JR	DRU
16	--	Ashton Jeanty	Boise State	RB	5'8"	210	JR	DRU
17	--	Colston Loveland	Michigan	TE	6'5"	245	JR	DRU
18	player down arrow ranking -5	Kenneth Grant	Michigan	DL1T	6'3"	339	JR	SH
19	--	Tyler Warren	Penn State	TE	6'6"	257	SR	
20	--	Maxwell Hairston	Kentucky	CB	6'1"	181	RJR	SR
21	--	Shavon Revel Jr.	East Carolina	CB	6'3"	200	SR	SH
22	--	Wyatt Milum	West Virginia	OT	6'6"	312	SR	SH
23	--	Derrick Harmon	Oregon	DL3T	6'5"	310	RJR	DRO
24	player up arrow ranking +8	Aireontae Ersery	Minnesota	OT	6'5"	325	RSR	SR
25	--	Walter Nolen	Ole Miss	DL3T	6'4"	290	JR	SR
26	--	Nick Emmanwori	South Carolina	S	6'3"	220	JR	DRU
27	--	Isaiah Bond	Texas	WR	5'11"	182	JR	
28	--	J.T. Tuimoloau	Ohio State	EDGE	6'4"	270	SR	
29	--	Shemar Stewart	Texas A&M	EDGE	6'6"	290	JR	SR
30	player down arrow ranking -10	Jalen Milroe	Alabama	QB	6'2"	220	RJR	SR
31	player up arrow ranking +15	Cameron Williams	Texas	OT	6'5"	335	JR	
32	--	Quinn Ewers	Texas	QB	6'2"	207	RSR	
33	player up arrow ranking +5	Mike Green	Marshall	EDGE	6'4"	248	RSO	SR
34	player up arrow ranking +10	Tyleik Williams	Ohio State	DL1T	6'3"	318	SR	
35	--	Benjamin Morrison	Notre Dame	CB	6'0"	185	JR	
36	--	Barrett Carter	Clemson	OLB	6'1"	225	SR	DRO
37	player up arrow ranking +30	Josh Simmons	Ohio State	OT	6'5"	310	RJR	DRU
38	player down arrow ranking -15	Landon Jackson	Arkansas	DL5T	6'7"	280	SR	SR
39	--	Jahdae Barron	Texas	CB	5'11"	192	RSR	
40	--	Deone Walker	Kentucky	DL1T	6'5"	348	JR	SR
41	--	Tre Harris	Ole Miss	WR	6'2"	205	RSR	SH
42	--	Kyle Kennard	South Carolina	EDGE	6'5"	254	GR	SR
43	--	Jihaad Campbell	Alabama	ILB	6'3"	244	JR	DRU
44	--	Jonah Savaiinaea	Arizona	OG	6'5"	330	JR	SR
45	--	Tyler Booker	Alabama	OG	6'5"	332	JR	DRU
46	--	Princely Umanmielen	Ole Miss	EDGE	6'4"	245	RSR	SR
47	--	Bradyn Swinson	LSU	EDGE	6'4"	250	SR	SH
48	--	Jalon Walker	Georgia	OLB	6'2"	245	JR	DRU
49	--	Elic Ayomanor	Stanford	WR	6'2"	210	JR	DRU
50	--	Trey Amos	Ole Miss	CB	6'1"	190	SR	SR
51	--	Emery Jones Jr.	LSU	OT	6'5"	315	JR	SR
52	--	Alfred Collins	Texas	DL3T	6'4"	291	RSR	
53	--	Danny Stutsman	Oklahoma	ILB	6'3"	240	SR	DRO
54	--	Davison Igbinosun	Ohio State	CB	6'1"	190	JR	
55	--	Shemar Turner	Texas A&M	DL3T	6'3"	300	SR	DRU
56	--	Jordan Burch	Oregon	DL5T	6'5"	275	RSR	SR
57	--	Jayden Higgins	Iowa State	WR	6'4"	210	RSR	SR
58	--	Josh Conerly Jr.	Oregon	OT	6'4"	305	JR	SR
59	--	Omarr Norman-Lott	Tennessee	DL3T	6'3"	315	SR	SR
60	--	Omarion Hampton	North Carolina	RB	6'0"	220	JR	DRU
61	--	Dani Dennis-Sutton	Penn State	EDGE	6'4"	261	JR	
62	--	Nazir Stackhouse	Georgia	DL1T	6'3"	320	RSR	DRO
63	--	Harold Fannin Jr.	Bowling Green	TE	6'4"	230	JR	SR
64	player up arrow ranking+10	Jack Sawyer	Ohio State	EDGE	6'4"	267	SR	
65	player down arrow ranking -20	Tate Ratledge	Georgia	OG	6'5"	315	RSR	SR
66	--	Donovan Jackson	Ohio State	OG	6'4"	300	SR	
